Server_ID,Hostname,IP_Address,OS_Type,Server_Location,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Admin_Name,Admin_Email,Admin_Phone,Log_Timestamp,CPU_Status,Memory_Status,Availability (%)
c137b910-3675-4dbd-9353-3ba607e98cb0,srv-backup01,9bce6f9b2130d153586fadf8a905a0c7d63261e0538975557ace8d2aeda1a38f,Windows Server 2019,"Sydney, Australia",55.22,68.63,10.85,28.02,11.73,20.64,3.36,James Stewart,106ae400ac134b41369868c65923f63c9f0887d1a5a55aa2b747fe4e6471cfbb,b67344707256205780d1b5f2bf0b48427ced88be047f092dcb40403c96e9b0d5,2025-01-15 21:24:00,Normal,Normal,86.0
b2607e67-2bd4-4a90-a786-212775f24f61,srv-analytics02,bf4385d862fe7e91e96b45d0ea4f868cd298b6a933c85dd373f29f9a20729b9e,Ubuntu 20.04,"New York, USA",86.03,27.24,90.44,112.72,90.19,21.86,2.14,Jesse Ho,981131d98b3a2372a88f0790c862e18d020cedf44f823daf1df4189ac79f441e,9fe5a77a38ef717d06f4e351b6582f381a5105d93da261bbc95de215989dc2e1,2025-01-25 21:29:00,Critical,Normal,91.08333333333333
08ac5795-9603-4848-9fc0-f20307b026aa,srv-cache03,b0c2264a1efcab07f99ddf286fa76ed8ed5d870a41797381f24b1989c883aa17,Ubuntu 20.04,"London, UK",17.66,79.55,13.41,67.99,71.75,18.49,5.51,Thomas Schmitt,6f101b05a7f5c26c47f5a05f336bc06df836f8dfd7a3ef7119b5c02272cdd355,b32b0a8f6395effc7ec7f054be09a209b9856526778fac00be8a8822e5dd907d,2025-02-07 18:43:00,Normal,Normal,77.04166666666666
352c6356-d76e-47d3-bb86-ed94aa70f82f,srv-web02,bae6f08d5e6de1ba281bcf2faa5a62f968e4db1228231c560834be7eac9f693b,Windows Server 2019,"Sydney, Australia",29.51,76.82,30.39,83.17,21.74,21.79,2.21,Shawn Ryan,6cf6dad6ba6bd0e8d8427f626fced846ff0cc89491d9e814a7aae36d9373a191,980070000de45d56ce3203915d3739d1363bd0a8f88433817598050d8cdf8ada,2025-02-10 15:01:00,Normal,Normal,90.79166666666666
9013d12f-a90e-492c-87c5-5a5811887394,srv-analytics02,5a3ef012aeab568fae8217079ec65259f01209e7507426181509107b1d6d3697,CentOS 8,"London, UK",43.74,73.84,20.42,25.4,15.76,19.42,4.58,Roger Trevino,70724518b963db96f78f6bf75bd11b917987aa9506486feae98f4b78d48588e5,af8b42cbc6d83a4d33be93d81ca805953d6552cb58fd44c3397d85bd79016ca9,2025-01-24 06:22:00,Normal,Normal,80.91666666666667
513d5310-3933-456b-a835-221f2df6c1fe,srv-analytics03,6423549a6fafcfdae4918e7c3d16d0d6f6e79adcd81cc0a855b18a3a408d239c,CentOS 8,"Sydney, Australia",51.65,30.42,16.69,68.42,23.09,18.21,5.79,Kaitlyn Guerrero,c6421819082c257b4147b77f402c0ec5c0d7c74201530a9d0a6448cc13692454,1e474626038ccd5538fca7746bf2a8318d334e71703a3ed3e5048bd8ac0f9c84,2025-01-17 22:38:00,Normal,Normal,75.875
e9ad7958-83df-47d8-b536-94bf53df2d92,srv-cache02,91db1f3ef6429d698345e455745516e750e96ebac1588ec8882c9218c8684bf5,CentOS 8,"New York, USA",23.91,91.49,31.45,121.68,84.93,19.66,4.34,Alex Schroeder Jr.,6d540ad805362bcd5e22a69fb7f2c9f329d15ff7006b245f99f83964f461f878,eae4e1a0d801bb98ee3ab99fdee88e5872f94671537246a9d9d00406e92b04d3,2025-02-06 00:58:00,Normal,Critical,81.91666666666667
3145367a-2b21-41fc-8eef-1d92088de8a4,srv-api02,5dfb26472f633d609304d47fa4326721ae181656868f9febcba8e310566f7250,Windows Server 2019,"London, UK",88.99,42.49,91.11,132.52,35.24,20.57,3.43,Charles Wilson,d9868ddbd6915ff8d495dd5893d4e3cc5d0958c04976cdbbbe12e365ca84bd59,5231ade097671aad3e65c92e29fdd4075dffa05fdaf88eb7f72ec5bf8f34f1e4,2025-02-07 05:21:00,Critical,Normal,85.70833333333333
4d55bfc7-c27e-42d9-b271-c49770de3164,srv-cache03,6095fce467a2499a80fbaa3d614ada263f7b38210d9ace7bff16d0e4fc336cea,Windows Server 2022,"New York, USA",38.03,68.66,45.14,31.47,92.3,21.36,2.64,Cody Mckay,c5abbede7d09c708fb9360e4aabdb2e9fd112f7fd5a85baea59012d36ec37718,a684928c2c70d627597bd6859a01177fc3ebedcbeb6535a240c235b0b86918c1,2025-03-08 10:54:00,Normal,Normal,89.0
a23db8da-5330-4089-9a05-4ac1390954b7,srv-database03,eacfe21eba3b97a9422c978aa41c4f325b1199e8846653f26a4b719dc1843032,Red Hat Enterprise Linux,"London, UK",34.04,91.66,33.55,43.35,91.64,19.1,4.9,Patricia Williams,3c65d01076c5639fc595f8ad521676ee5e6dab63b9cfad4dd1116b202342dfbf,6f2ee810f7ac44c8972bd68e01575a9a51290176b4d7ebcdac27a6ba48a34faa,2025-02-14 11:12:00,Normal,Critical,79.58333333333334
08da88a1-335a-49bb-8722-34fad4ea1661,srv-analytics01,39bcccb68c8677d88c5166928fbe665070334a60464a46c1c09468d74e6e27ac,Ubuntu 20.04,"Tokyo, Japan",82.13,39.08,84.13,119.23,118.19,22.66,1.34,Paul Aguirre,654c44e0415024bcbbc03340b843b65ef257c6158c0f891970059d1b6b386dfc,ca0d7f0c4960f7da929754fdb02b5299bed8e011848e2a714d030406de10c8f7,2025-01-19 18:58:00,Normal,Normal,94.41666666666667
d7db56e6-7774-469d-8f7c-c3abe49869bc,srv-database02,2a99d95063daf93f3eab0974c35c01ea1c0651f3a2861b76cd2cce09068d7403,Ubuntu 20.04,"Tokyo, Japan",95.86,84.95,88.47,10.45,143.23,18.61,5.39,Amy Morgan,0dde322d75de19bc091cb7194be1ac2f0e989b3ade8c6305aee89b188c2fb841,90178d3a65218de4968ced31c5928c553d9588aff115d3dd48717e0828c15f57,2025-02-06 21:54:00,Critical,Normal,77.54166666666666
fdc77db4-cab0-484a-90ed-988aa059d0f8,srv-backup03,8751edf55ad325f3c91a852f0f3471497ac57bd187e8d7a3b4ff5edb94369b47,Windows Server 2019,"New York, USA",65.54,49.61,18.96,17.75,117.58,18.96,5.04,Roger Anderson,2966f91077310825ac87e0c04f84bac2521b71f27cc14df38c51a235f4f37e92,3ab6fce8579d5cc1e4eb2371fc365514e0c1cd72f8e5f4fddbedcaf809113911,2025-02-20 21:09:00,Normal,Normal,79.0
fc139a27-9e59-479b-b13e-61a6e991e656,srv-app02,f38352d720276f49c0a7740a0606c2c5dc7d8d88184f33cf24ea4f7a162ba109,CentOS 8,"New York, USA",49.86,66.94,58.26,16.53,98.81,22.59,1.41,Richard Robertson,6e3436c28f711ad3523553b58f7542b11be8843320333a8c58fdab027f625393,223bc761f94bb21fd7b53b3464c498c22caf669fc6ec3c6fe6acfed09cb099b5,2025-03-08 05:21:00,Normal,Normal,94.125
a17ab97c-13bc-4b4e-8118-1a36a0b4deb0,srv-analytics01,40e51e0490be61dc216f40ffe027b5c18eb4978725aa066f13d71460c9cd62df,Windows Server 2019,"Berlin, Germany",75.58,46.4,11.81,28.35,73.01,22.84,1.16,Tyler Le,c88e91eb063a1b78060031709868f2d6e75fa8f5cc8b6a723160c5f8891cd92b,1825c9f069bbe2d4749f5f3457cd52006d784a5a10de05382a368ac0c8f826f8,2025-02-15 10:13:00,Normal,Normal,95.16666666666667
ed8a0d8e-4ac0-402e-b843-7d75c42290e5,srv-app01,a1bdc286d1bd2a1a96419236281aae057c2fa1c0e2d620d2ac60f215f41ee9dc,Windows Server 2022,"London, UK",71.17,87.33,89.55,79.05,114.25,18.58,5.42,Brianna Perez,4c80c541ada6eb0985836097c0b8ea7e35916b1852ce348cfc35625e82f5be3e,bd5ec6307cbcbae26bd55cb5ec95dbe7c0d2935a4a14e0f6cbac1b6ea7d1638e,2025-02-23 03:36:00,Normal,Normal,77.41666666666666
ae7df33b-0c12-4151-87af-c74f30afd233,srv-backup01,75066429714bf8630dd40136dd118440e9ed11d29c9469015e4b9bfa2a739800,Windows Server 2022,"Tokyo, Japan",68.1,39.47,88.96,75.64,141.35,18.09,5.91,Amanda Holt,3da07d26af724ef5a9a69c31d92fab24b9e7a8f3476ffa12333d7e62f80e3796,97362feeb22c78d8f5757ff2561a1b17f27acf8175799dbefd8c638d8a488d26,2025-02-02 06:32:00,Normal,Normal,75.375
8b98821a-6cef-445c-b007-4ca8eb18563f,srv-cache01,f1761add5fb0d06ce0403e45219d72b3928511bd117db77922cd4c36b8eefcef,Red Hat Enterprise Linux,"London, UK",49.97,41.02,97.5,62.77,78.02,19.24,4.76,Elizabeth Rodriguez,4aacda04f283e0c8ebc4b55210cbf6e600619a96db088c9b408acce38a1aec7a,2fbc15471e60b11977b40a59ab9c81a9ce0431ac2a5f6fc88678c41107e27dea,2025-02-26 03:27:00,Normal,Normal,80.16666666666666
af0bb3fb-f46f-4eda-b608-67393ddbc67f,srv-analytics02,daa89d18188093cb7b6119a6ad73adcd2047fe95c112a1380e2419f36b6d5564,Windows Server 2022,"London, UK",44.67,32.45,21.09,140.55,74.98,21.89,2.11,Michael Hunt,608ff8ef13c5fe9e45ab157427aa16a9bf994b6c6530b9f35aac716c22c1d7e1,4272908575c3ba986bec0e03ccd183d8ea5532ebc945d12029ebe4a44e085af5,2025-02-20 13:39:00,Normal,Normal,91.20833333333334
f9aa7de8-8fec-4850-bb5c-590d1fd3b179,srv-database01,683b696e523f0052d01a90e5f216dfa09f5bbab11c6e4bae89fb29dc7387f365,Windows Server 2022,"New York, USA",95.33,81.06,42.16,92.46,63.8,21.2,2.8,Michael Richardson,0605736ffc896bbc83246cd4994cc4d8baa5ba68141bb8d021c90ad6d33fe75b,de10464e4377e384d3fc2df47b60ac343259e487dcc81aeabd7d727f2660f235,2025-02-19 19:53:00,Critical,Normal,88.33333333333333
32f0a94c-9d01-4d3f-9769-4d1ff9acf7d6,srv-analytics03,6650ceae92e75a63e757b1dea112f27e8ba9218a31128d80df75c62caa29c638,Red Hat Enterprise Linux,"Sydney, Australia",66.37,41.0,81.15,134.57,112.61,18.95,5.05,Mrs. Katherine Garcia DDS,f8d56fcefbc48ea8b2f7e668d395d90c9cd2654909b21021a971ec6002ac45fb,4e6f85389f7b9763cfec19958d2726f4b9dd4c4bb763b3340ca80a28131293ed,2025-03-09 22:41:00,Normal,Normal,78.95833333333333
a8fcbe97-16a7-4408-a2ad-dfbd2c531107,srv-database01,a4831fdfcd289e6c2222b9d387f3114d3edd4205c0c8a89be38973939e0fe3a7,CentOS 8,"Berlin, Germany",45.87,72.67,61.55,142.08,147.92,18.01,5.99,Joel Juarez,61326edd9fc4ff27713df5caba7c0998aab6c2ec5aed6b0266ac9c25f3b2dbcd,9fb0e1b84e5f54fd0a91743de527dcf8c10e7d3f37fe6acc06869bf54af1931f,2025-03-01 16:46:00,Normal,Normal,75.04166666666667
a70f79c3-66c6-4c43-820b-7b0f220277ae,srv-app01,0c0e011f7cb3779c752de3da9ab988aba9bce2be9291c865e9ee87bb18304573,CentOS 8,"Sydney, Australia",93.07,59.55,56.15,11.73,103.41,18.46,5.54,Bryan Wilson,f7fbcff59e1f6e7db0a296a81aa7d5eb68ad65976ad786a79aed5e1e2fce9487,14c0e417294d89855514f1a1e4d21890710fe69dfdf8aa968cd42810f9109d48,2025-02-27 10:15:00,Critical,Normal,76.91666666666667
231ff169-049b-469e-afe2-106af40e371e,srv-backup02,25cf84c243807b28022f9a0190ac079825085a68cd3bab87bd9a6bbae5e1bb80,CentOS 8,"Tokyo, Japan",76.93,56.28,92.79,15.82,27.08,19.95,4.05,Jennifer Vargas,8097674383617404ec42a2780f378a7596aeef7bd520419ee8f4f1721e71c584,d34bfa9b306314cb49466b7c6fe0172b2c975c91fc16b12793f37d9151ce11ee,2025-01-22 17:21:00,Normal,Normal,83.125
1ce1db28-d790-4d9b-ab97-a4fca8dc8779,srv-api02,9c7b8ac9d2a9d2dc931cd9eafb3f779367431b02296dbca0e0007f9cfaf0f624,Ubuntu 20.04,"Sydney, Australia",35.8,28.95,68.74,108.85,60.86,22.99,1.01,Charles Chan,75ae80ed9403d09fb36729ec30300b9e8417a50365328314ad96b970dbbc1821,a62f347a6f8cc71056e66c75be96ef2ee0994f77c5669efed8ece29c68d69ce5,2025-02-26 07:51:00,Normal,Normal,95.79166666666666
9a6dae07-ccb4-4e9c-8613-5b43b4975e86,srv-analytics03,31ae5ac162024da9dc9b8c8b1d0e2262b152f465df38ad8e9b1e52e0f469f8dc,Windows Server 2019,"New York, USA",63.94,48.38,27.88,84.25,125.11,20.18,3.82,Joann Chambers,5b1ad74f4f0a97113559d01e7a74224aba6e6c1e97b343a4be1689fd493953f4,8f779ef148b055227a07dc96b9d34c9b85f7d672ab0e8dc778add2b59e3e6e77,2025-01-27 08:44:00,Normal,Normal,84.08333333333333
a7c76fdd-51bd-4184-95e0-816870acd370,srv-web01,c44dc125c6223c3a5d861c1683d784aaca96956753e0abed7072311b00514711,CentOS 8,"Sydney, Australia",90.0,62.69,13.56,120.22,99.88,21.38,2.62,Samuel Stewart,6d540ad805362bcd5e22a69fb7f2c9f329d15ff7006b245f99f83964f461f878,97b9981f826f057186b824a678fbe670cefbc79434d9ac64cc21341030c2429c,2025-02-08 06:50:00,Critical,Normal,89.08333333333333
dbe127fa-83b3-46ce-823d-0a2cdeab02c2,srv-analytics02,718b0925cdb8b3d1dbdfa1da301929f3948c145aacf50a151319022ff0797918,Ubuntu 20.04,"London, UK",88.46,72.3,26.69,126.83,43.41,21.98,2.02,Ashley Tran,99c28efcc383b34183f932ecf09c1db3659a25661a79afb98e16773e9c01d76c,b77b61ccf4d2d161729ef2c13c0c0f44ce735e3d6eeff649c430bbc65b9ff32f,2025-02-15 01:14:00,Critical,Normal,91.58333333333334
3761fb3d-cbbe-4c10-b712-6069e3b8f788,srv-backup03,1dc6dd2fd3e4c60b11d578d6dcfabfdd71f8faff6c00f5ff160561c99610ed31,Ubuntu 20.04,"Berlin, Germany",93.09,55.27,20.66,63.86,88.11,21.47,2.53,Russell Miller,1146d8b3705851ce44d314a28bf7f8df06b959e0e83c4eb6011951f78f00d3aa,b47d092fc2d48dd5d9596e0e922c97e1456b0806872f05313e3e3c429b33f5d0,2025-01-20 09:04:00,Critical,Normal,89.45833333333333
e337f92b-bf7d-49b9-98a4-c11b2399116b,srv-analytics03,070934046077fa926738c2cff815de09df123d405415734e57548b29069db648,Windows Server 2019,"London, UK",63.86,82.91,23.01,16.73,128.57,19.79,4.21,Sabrina Brady,cad23c75dfa53a517e59a1df0c303c11fc99040179938702acc1ca542c358c2e,66db4ca28cfc2df57f6e008e0b6652f2237b4f1f4ab8d58c2da7182db7017f2f,2025-02-04 09:33:00,Normal,Normal,82.45833333333333
b6168a70-520f-49bd-9fe1-fd673f7d8b14,srv-database01,2a3db16eb2513e7ab29216001653e57dd197467d52a4b254000d6f9a15e5407d,CentOS 8,"Berlin, Germany",94.59,81.31,83.31,111.1,84.15,22.21,1.79,Kayla Frank,c81f53c3626dae7fa9749fdece510d5596985b24363956c1ba63225190ae3056,1f095af48978141a2825f681b52caff12ddff6c38b6de5b4596dfba6698664d6,2025-03-01 07:24:00,Critical,Normal,92.54166666666667
60158035-6a06-47a7-ab95-636f9364b04c,srv-app03,c093462eeb1349917c84e3dcf8f45387911633a36b88c996ba51fd6afadf93db,Ubuntu 20.04,"New York, USA",96.18,75.8,98.98,87.12,132.49,18.81,5.19,Amanda Fox,e71557c836d49ef30b3ebba41b07d5b4c0c8c32385232b0f26f79d8b0c0db14c,f4982f91caf26b55a917daed535671a8b4409ba0cff696c19abe36e8e5c08f6c,2025-02-02 00:40:00,Critical,Normal,78.375
cbc4a707-4692-4a12-87e9-d79ca6c71bfa,srv-web01,6ed25425e42a84bc592dbbd60360f17ceccef191fe6d3b2d90c515447a277269,Windows Server 2022,"Berlin, Germany",57.89,93.66,64.08,78.82,149.25,21.51,2.49,Justin Rodriguez,ea4645e8a061d72af6a96dd917384baa3e16394512644ae2661992800aee73bd,5a6eb4accb96cbbd3d14650eada5d1f175a4210027e692320db8ded94862b960,2025-02-16 18:59:00,Normal,Critical,89.62500000000001
5bd5e8f7-1339-4060-961c-894129724f45,srv-database03,189bab6c5fb00cf016036222bb29fda5d9ea8976f52feb5fe36a5c5019699f96,Windows Server 2022,"Tokyo, Japan",24.65,55.57,30.66,50.22,140.05,22.36,1.64,William Wright,a057d51bb53a569ef40339f3de8520e99c3a18fd5757a8cf4bbcde494659a1e3,15b71e1826ed6b2603d715ed83570701ff69fc80f186f00718e335ba00b72e18,2025-02-23 19:02:00,Normal,Normal,93.16666666666666
270cd957-a331-4dc2-bbcf-85b91e292784,srv-cache03,6662d2fd2bb3f96a388fe695d644fb7097d90731db47bda558969e186a399131,Ubuntu 20.04,"Berlin, Germany",62.76,76.1,52.29,34.2,142.94,18.66,5.34,Michael Young,11953b2d0f20ec778467e250f036b22f5c04ebea6dea5418a032114834b521d3,7ffbaa95d643b87ee032d2ccc09b4f3e1617216e9d0854f229bef131c56a5d13,2025-02-27 09:36:00,Normal,Normal,77.75
9406ae9e-d19d-4be8-9b8a-8792b27db871,srv-cache02,56723de72d06e95a07bf55e8f8e3bbd71e3127320a80bb2e1e146d333614461e,Windows Server 2019,"Sydney, Australia",83.13,28.77,25.79,82.17,55.36,19.38,4.62,Glenn Mathews,6533cb88198d7d4a966ccaed9558dbcff36d99763f0e9f07bd2a8b01bc84d9e5,275d4d842ab7aa96369721f06613ac02c3dea5e90a44cff4fe1f8f4caabed633,2025-01-28 06:40:00,Normal,Normal,80.75
f0dc3a9a-113e-4f4a-a272-3338a300ab00,srv-app03,41bf12746edb42feffd4476b9e53963bd64dfc3a4e5892c0e149d076b4141194,Ubuntu 20.04,"New York, USA",48.93,68.43,82.21,125.12,73.54,21.94,2.06,Kyle Macdonald,7a2a0146c39588059963f223ff21d11b13d36730e28eda4e857d6664ccdf8f97,343063bb6294bbd748d6e573cb3130000f40d8104b693622f50315362152bcd4,2025-02-02 17:31:00,Normal,Normal,91.41666666666667
436cc765-63b1-4e27-bdf4-2bb787eb5205,srv-cache03,58d8dcde0aecca54b42245d64fb163ca55b6f045e910b12f4f052be096927896,Red Hat Enterprise Linux,"Berlin, Germany",14.02,39.26,74.72,125.74,35.52,18.64,5.36,Elizabeth Roth,ac3bff05dddedd7c91c7d4df6028a707d1b61b1cedc0faa69945d70a7df0f1ec,dad3111d64fdf030b74ab8d87203407281e9935137e5f9952df2c5dac472bea2,2025-02-19 13:06:00,Normal,Normal,77.66666666666667
1ca0a88a-f163-421b-8fe2-7ef72d14a685,srv-analytics03,7025a22cddea871dba96ce3d3c1eecd4796ddc4cce484b527026b83d79404f6d,Windows Server 2019,"Tokyo, Japan",10.57,20.79,84.73,131.93,50.77,20.73,3.27,Andrew Wood,150f455c375b4d64f12512e4e81b78a6e1bb9c6a2fd21bcaea561d857dc5fcff,4ed86ee5f9dd425d0402c3a4c7a1f1ded0152bc66cbffd5651c1c9a8b5bbc04f,2025-03-15 13:50:00,Normal,Normal,86.375
67ddb04e-fb22-4796-be49-c6ffc6972747,srv-api03,696d530d9071b8e7272d3e34908b7335e2108badfea4ac84f87b21304389eac8,Red Hat Enterprise Linux,"New York, USA",48.86,89.53,78.01,76.42,142.39,22.3,1.7,Rebecca Ruiz,8ca86c01a4cc43157a242923179281442264df78ec0899a08d1123966ffd0cf4,3cd4ff5ccbabb5de70a6e61f3d0cb7523a09c0699e5cc7f8dbc07bb7b78556d6,2025-02-05 12:02:00,Normal,Normal,92.91666666666667
c4c9ea03-7b9d-483d-b434-6b8d850010ca,srv-backup02,6c113c78105424aec68ced4b9b1b19e2632d3313142e6e694d9aa30080d77ff2,CentOS 8,"New York, USA",44.08,46.08,69.97,149.17,12.15,18.89,5.11,Joshua Smith,41d9b2a9548737e60d3b1095f1838edf4f2ab719aab707b225bfdcdb0dc67809,4b0d51a5e1e36ce34c0e6af679d368e50c6b0b4dfba498a4f2bc5b6113b63254,2025-02-25 17:20:00,Normal,Normal,78.70833333333334
07b5619c-8ed1-4226-a35c-880b76379cab,srv-web03,955f2f19a6d5af0a459f29ba2dba43feda50094bba8bb38f7c8381be08daefea,Windows Server 2022,"Berlin, Germany",63.36,94.26,27.6,145.69,55.57,21.88,2.12,Caleb Chandler,523005abbfbae7901400a4a083e25135af20cdb1d325ca01e5368415986f6425,9374f9e828466b5873b9a0734458efc787d73b98e2cecb3974c1397c73d23a8d,2025-02-07 07:45:00,Normal,Critical,91.16666666666666
9145e4de-9d1e-4b76-9106-1afa434ceb44,srv-backup02,dd3244ae222b7b4a9bf1a58dc7af2571ddb4c4d7e43dd330eadcb69f8a78096c,Red Hat Enterprise Linux,"Berlin, Germany",93.02,90.05,56.56,119.24,66.79,19.73,4.27,Kimberly Aguilar,c81362289ee11a5eef5d876c42d4acce46eda092bcae71fece31b0137c909ecb,c7d2e5b5049c33293cc1976f2013335ba232ef2374da9a49f71024427f7a6aef,2025-02-22 14:09:00,Critical,Critical,82.20833333333334
